Ano,Mes,Energia
1968,1,10951
,2,10671
,3,13643
,4,15109
,5,12602
,6,12295
,7,12056
,8,12376
,9,14146
,10,12993
,11,14206
,12,13603
1969,1,13044
,2,12132
,3,13606
,4,15876
,5,14316
,6,12675
,7,14290
,8,15170
,9,15065
,10,16273
,11,16505
,12,16060
1970,1,16964
,2,17675
,3,15548
,4,17275
,5,22318
,6,21117
,7,23326
,8,27224
,9,28794
,10,19554
,11,19601
,12,27330
1971,1,29260
,2,29591
,3,29509
,4,28883
,5,32390
,6,32702
,7,31748
,8,28157
,9,32898
,10,32909
,11,34087
,12,31760
1972,1,35105
,2,31767
,3,35608
,4,35094
,5,32674
,6,35438
,7,36270
,8,35369
,9,36742
,10,36615
,11,36748
,12,37289
1973,1,38277
,2,37825
,3,34107
,4,42106
,5,49218
,6,55002
,7,51820
,8,60111
,9,58980
,10,56281
,11,60731
,12,62870
1974,1,63653
,2,65574
,3,59721
,4,65205
,5,61340
,6,59538
,7,55018
,8,65002
,9,66740
,10,63595
,11,63202
,12,59822
1975,1,65653
,2,62089
,3,64107
,4,70440
,5,65237
,6,66885
,7,62929
,8,68011
,9,71948
,10,72940
,11,74873
,12,72523
1976,1,78868
,2,79610
,3,74635
,4,80178
,5,79802
,6,82737
,7,81259
,8,81697
,9,80502
,10,78160
,11,80078
,12,83807
1977,1,84608
,2,89889
,3,81894
,4,95400
,5,91214
,6,89767
,7,89726
,8,97896
,9,103416
,10,107646
,11,120409
,12,109626
1978,1,100276
,2,118065
,3,116504
,4,134251
,5,134667
,6,144760
,7,144438
,8,159168
,9,168255
,10,175231
,11,174530
,12,173720
1979,1,179821
,2,185780
,3,270327
,4,196949
,5,202968
,6,213178
,7,210912
,8,213598
,9,210297
